"Nom géographique";"Abréviation du nom du genre de région géographique";"Population, 2021";"Population, 2016";"Variation en pourcentage de la population, 2016 à 2021";"Total des logements privés, 2021";"Total des logements privés, 2016";"Variation en pourcentage du total des logements privés, 2016 à 2021";"Logements privés occupés par des résidents habituels, 2021";"Logements privés occupés par des résidents habituels, 2016";"Variation en pourcentage des logements privés occupés par des résidents habituels, 2016 à 2021";"Superficie des terres en kilomètres carrés, 2021";"Densité de population au kilomètre carré, 2021";"Classement national de la population, 2021";"Classement provincial et territorial de la population, 2021"
"Saint-Lazare-de-Bellechasse";"MÉ";"1 332";"1 288";"3,4";"571";"562";"1,6";"540";"528";"2,3";"85,93";"15,5";"1 787";"550"
"Saint-Léon-de-Standon";"PE";"1 042";"1 127";"-7,5";"678";"691";"-1,9";"543";"551";"-1,5";"136,88";"7,6";"2 059";"643"
"Saint-Malachie";"PE";"1 667";"1 517";"9,9";"812";"798";"1,8";"699";"664";"5,3";"101,07";"16,5";"1 558";"474"
"Saint-Michel-de-Bellechasse";"MÉ";"1 871";"1 813";"3,2";"896";"928";"-3,4";"783";"757";"3,4";"43,08";"43,4";"1 433";"420"
"Saint-Nazaire-de-Dorchester";"PE";"338";"363";"-6,9";"178";"183";"-2,7";"149";"143";"4,2";"51,56";"6,6";"3 390";"1 036"
"Saint-Nérée-de-Bellechasse";"MÉ";"744";"742";"0,3";"451";"461";"-2,2";"355";"351";"1,1";"75,76";"9,8";"2 449";"783"
"Saint-Philémon";"PE";"680";"714";"-4,8";"533";"545";"-2,2";"364";"350";"4,0";"146,51";"4,6";"2 562";"815"
"Saint-Raphaël";"MÉ";"2 458";"2 390";"2,8";"1 237";"1 212";"2,1";"1 084";"1 017";"6,6";"121,69";"20,2";"1 210";"341"
"Saint-Vallier";"MÉ";"1 031";"1 061";"-2,8";"519";"518";"0,2";"457";"457";"0,0";"44,88";"23,0";"2 074";"649"
"Sainte-Claire";"MÉ";"3 526";"3 362";"4,9";"1 704";"1 597";"6,7";"1 583";"1 452";"9,0";"88,14";"40,0";"929";"239"
"Bonaventure";"V";"2 733";"2 706";"1,0";"1 404";"1 312";"7,0";"1 318";"1 208";"9,1";"104,50";"26,2";"1 121";"305"
"Caplan";"MÉ";"1 966";"2 024";"-2,9";"969";"988";"-1,9";"920";"902";"2,0";"85,69";"22,9";"1 400";"411"
"Cascapédia--Saint-Jules";"MÉ";"764";"730";"4,7";"385";"355";"8,5";"347";"324";"7,1";"164,29";"4,7";"2 416";"776"
"Hope";"CT";"584";"568";"2,8";"320";"308";"3,9";"289";"264";"9,5";"70,55";"8,3";"2 741";"869"
